drug,sentence,title,doi,in-vitro evidence
ivermectin,"[' ivermectin was first approved for human use as an endectocide in the 1980s.', ' here ,  in vitro antiviral activity of the avermectins ( ivermectin and selamectin )  and milbemycins ( moxidectin and milbemycin oxime )  were assessed against a clinical isolate from a chu montpellier patient infected with sars - cov - 2 in 2020.', ' ivermectin demonstrated anti - sars - cov - 2 activity in vitro in human pulmonary cells in comparison to veroe6 ( with ec50 of 1 - 3 m ) .', ' immunofluorescence assays with ivermectin and moxidectin showed a reduction in the number of infected and polynuclear cells suggesting a drug action on viral cell fusion.', ' this is discussed in regards to recent clinical covid studies on ivermectin.']",'Low selectivity index of ivermectin and macrocyclic lactones on SARS-CoV2 replication in vitro argues against their therapeutic use for COVID-19.','10.1101/2021.11.01.466865',"[[' ivermectin demonstrated anti - sars - cov - 2 activity in vitro in human pulmonary cells in comparison to veroe6 ( with ec50 of 1 - 3 m ) .', ' similarly ,  the other macrocyclic lactones moxidectin ,  milbemycin oxime and selamectin reduced sars - cov - 2 replication in vitro ( with ec50 of 2 - 5 m ) .']]"
selamectin,"[' here ,  in vitro antiviral activity of the avermectins ( ivermectin and selamectin )  and milbemycins ( moxidectin and milbemycin oxime )  were assessed against a clinical isolate from a chu montpellier patient infected with sars - cov - 2 in 2020.', ' similarly ,  the other macrocyclic lactones moxidectin ,  milbemycin oxime and selamectin reduced sars - cov - 2 replication in vitro ( with ec50 of 2 - 5 m ) .']",'Low selectivity index of ivermectin and macrocyclic lactones on SARS-CoV2 replication in vitro argues against their therapeutic use for COVID-19.','10.1101/2021.11.01.466865',"[[' ivermectin demonstrated anti - sars - cov - 2 activity in vitro in human pulmonary cells in comparison to veroe6 ( with ec50 of 1 - 3 m ) .', ' similarly ,  the other macrocyclic lactones moxidectin ,  milbemycin oxime and selamectin reduced sars - cov - 2 replication in vitro ( with ec50 of 2 - 5 m ) .']]"
ribose,"["" 'we recently published a preliminary assessment of the activity of a poly ( adp - ribose )  polymerase ( parp )  inhibitor ,  stenoparib ,  also known as 2x - 121 ,  which inhibits viral replication by affecting pathways of the host."", ' stenoparib is an inhibitor of mammalian poly ( adp - ribose )  polymerases ( parps ) .', ' stenoparib is an inhibitor of mammalian poly ( adp - ribose )  polymerases ( parps ) .']","'Stenoparib, an inhibitor of cellular poly (ADP-ribose) polymerases (PARPs), blocks in vitro replication of SARS-CoV-2 variants'",'10.1101/2021.11.03.467186',"[['1 )  in vitro ,  with 50% effective concentration ( ec50 )  estimates of 4.1 m ,  8.5 m ,  24.2 m and 13.6 m ,  respectively.']]"
remdesivir,"['5 m remdesivir resulted in over 90% inhibition of the alpha ( b.', '7 )  variant ,  which is substantially greater than what was achieved with stenoparib or remdesivir alone at these concentrations.', ' to date ,  only two antiviral drugs ,  remdesivir and molnupiravir ,  or treatment with monoclonal antibodies ,  have been approved by the united states food and drug administration as covid - 19 therapies in certain situations.', ' a host - targeting therapeutic like stenoparib could be a significant benefit for covid - 19 patients as a standalone therapy ,  or especially as part of a combinatorial covid - 19 treatment strategy with an antiviral drug such as remdesivir or molnupiravir.']","'Stenoparib, an inhibitor of cellular poly (ADP-ribose) polymerases (PARPs), blocks in vitro replication of SARS-CoV-2 variants'",'10.1101/2021.11.03.467186',"[['1 )  in vitro ,  with 50% effective concentration ( ec50 )  estimates of 4.1 m ,  8.5 m ,  24.2 m and 13.6 m ,  respectively.']]"
rhamnose,"['7 kda is composed of rhamnose ,  galacturonic acid ,  galactose and arabinose in the molar ratio of 8.', ' there are four branches attached to c - 1 or c4 position of rhamnose glycosyl residues on the backbone.']",'Novel pectin from crude polysaccharide of Syzygium aromaticum against SARS-CoV-2 activities by targeting 3CLpro','10.1101/2021.10.27.466067',[['9% ( ec50 : 0.90 m ) .']]
pectin,"[' hence ,  we hypothesize that negative charged pectin glycan may also impede the virus replication.', ' the structure characterization demonstrated that 922211 is a homogalacturonan linked to rg - i pectin polysaccharide.']",'Novel pectin from crude polysaccharide of Syzygium aromaticum against SARS-CoV-2 activities by targeting 3CLpro','10.1101/2021.10.27.466067',[['9% ( ec50 : 0.90 m ) .']]
galactose,"['7 kda is composed of rhamnose ,  galacturonic acid ,  galactose and arabinose in the molar ratio of 8.']",'Novel pectin from crude polysaccharide of Syzygium aromaticum against SARS-CoV-2 activities by targeting 3CLpro','10.1101/2021.10.27.466067',[['9% ( ec50 : 0.90 m ) .']]
melittin,"[' in this study ,  we describe the anti - sars - cov - 2 activity of gramicidin s and melittin peptides obtained from bacillus brevis and bee venom respectively.', ' the ec50 values for gramicidin s and melittin are calculated as 1.', ' based on proteome analysis it was found that more than 250 proteins were found to be differentially regulated in the gramicidin s and melittin treated sars - cov - 2 infected vero cells against control sars - cov - 2 infected vero cells after 24 and 48 hours post infection.']",'Gramicidin S and Melittin - Potential anti-viral therapeutic peptides to treat SARS-CoV-2 infection','10.1101/2021.10.21.465254',[[' the ec50 values for gramicidin s and melittin are calculated as 1.571g and 0.656g respectively.']]
gramicidin,"[' in this study ,  we describe the anti - sars - cov - 2 activity of gramicidin s and melittin peptides obtained from bacillus brevis and bee venom respectively.', ' the ec50 values for gramicidin s and melittin are calculated as 1.', ' based on proteome analysis it was found that more than 250 proteins were found to be differentially regulated in the gramicidin s and melittin treated sars - cov - 2 infected vero cells against control sars - cov - 2 infected vero cells after 24 and 48 hours post infection.']",'Gramicidin S and Melittin - Potential anti-viral therapeutic peptides to treat SARS-CoV-2 infection','10.1101/2021.10.21.465254',[[' the ec50 values for gramicidin s and melittin are calculated as 1.571g and 0.656g respectively.']]
nystatin,"[' the viral envelope may be challenged by polyene antibiotics ,  such as nystatin ,  which has strong affinity to sterols.', ' nystatin may block the establishment of the virus - host cell connection ,  too.', ' in this study ,  the nystatin was investigated ,  as antiviral agent to sars - cov - 2.', ' we demonstrated by tests in vero e6 cell based cytopathic assay ,  nystatin blocked the replication of sars - cov - 2 in concentration 62.', ' nystatin might be the first one with emergency use authorization ,  either ,  as a safe and efficient non - systemic antiviral drug ,  with well - established use ,  since decades.']",'Repurposed nystatin to inhibit SARS-CoV-2 and mutants in the GI tract','10.1101/2021.10.19.464931',[['5 g ml ( ic50 )  at wuhan and british mutant strains.']]
pyronaridine,"[' out of these we previously identified pyronaridine ,  which inhibited the sars - cov - 2 replication in a549 - ace2 cells.', ' herein ,  the in vivo efficacy of pyronaridine has now been assessed in a k18 - hace transgenic mouse model of covid - 19.', ' pyronaridine treatment demonstrated a statistically significant reduction of viral load in the lungs of sars cov - 2 infected mice.', ' furthermore ,  the pyronaridine treated group reduced lung pathology ,  which was also associated with significant reduction in the levels of pro - inflammatory cytokines chemokine and cell infiltration.', ' notably ,  pyronaridine inhibited the viral plpro activity in vitro ( ic50 of 1.', ' interestingly ,  pyronaridine also selectively inhibits the host kinase camk1 ( ic50 of 2.', ' we have also generated several pyronaridine analogs to assist in understanding the structure activity relationship for plpro inhibition.', ' our results indicate that pyronaridine is a potential therapeutic candidate for covid - 19.', ' pyronaridine ,  an antiviral drug with in vitro activity against ebola ,  marburg and sars - cov - 2 has now statistically significantly reduced the viral load in mice along with il - 6 ,  tnf -  ,  and ifn - {beta} ultimately demonstrating a protective effect against lung damage by infection to provide a new potential treatment for testing clinically.']",'Pyronaridine Protects Against SARS-CoV-2 in Mouse','10.1101/2021.09.30.462449',"[[' notably ,  pyronaridine inhibited the viral plpro activity in vitro ( ic50 of 1.8 {micro}m )  without any effect on mpro ,  indicating a possible molecular mechanism involved in its ability to inhibit sars - cov - 2 replication.', ' interestingly ,  pyronaridine also selectively inhibits the host kinase camk1 ( ic50 of 2.4 {micro}m ) .']]"
remdesivir,"[' one of these is remdesivir ,  which was originally repurposed from its use against ebola and functions by causing early rna chain termination.']",'Pyronaridine Protects Against SARS-CoV-2 in Mouse','10.1101/2021.09.30.462449',"[[' notably ,  pyronaridine inhibited the viral plpro activity in vitro ( ic50 of 1.8 {micro}m )  without any effect on mpro ,  indicating a possible molecular mechanism involved in its ability to inhibit sars - cov - 2 replication.', ' interestingly ,  pyronaridine also selectively inhibits the host kinase camk1 ( ic50 of 2.4 {micro}m ) .']]"
disulfiram,"["" 'disulfiram is a 70 - year - old anti - alcoholism drug ,  while copper( ii )  gluconate ( cu( glu ) 2 )  is a commonly used food additive or copper supplement."", ' here we disclose that the combination of disulfiram and copper( ii )  gluconate drastically enhances the anti - sars - cov - 2 activity at the cellular level as compared to disulfiram or copper( ii )  gluconate alone.', ' a 1:1 mixture of disulfiram and copper( ii )  gluconate shows an ec50 value of 154 nm against sars - cov - 2 at the cellular level ,  much lower than the 17.', '45 m reported for disulfiram alone.']",'Copper(II) Gluconate Boosts the Anti-SARS-CoV-2 Effect of Disulfiram in Vitro','10.1101/2021.09.17.460613',"[[' a 1:1 mixture of disulfiram and copper( ii )  gluconate shows an ec50 value of 154 nm against sars - cov - 2 at the cellular level ,  much lower than the 17.45 m reported for disulfiram alone.']]"
copper,"["" 'disulfiram is a 70 - year - old anti - alcoholism drug ,  while copper( ii )  gluconate ( cu( glu ) 2 )  is a commonly used food additive or copper supplement."", ' here we disclose that the combination of disulfiram and copper( ii )  gluconate drastically enhances the anti - sars - cov - 2 activity at the cellular level as compared to disulfiram or copper( ii )  gluconate alone.', ' a 1:1 mixture of disulfiram and copper( ii )  gluconate shows an ec50 value of 154 nm against sars - cov - 2 at the cellular level ,  much lower than the 17.']",'Copper(II) Gluconate Boosts the Anti-SARS-CoV-2 Effect of Disulfiram in Vitro','10.1101/2021.09.17.460613',"[[' a 1:1 mixture of disulfiram and copper( ii )  gluconate shows an ec50 value of 154 nm against sars - cov - 2 at the cellular level ,  much lower than the 17.45 m reported for disulfiram alone.']]"
remdesivir,"[' the in vitro safety and anti - sars - cov - 2 activity of plant extracts were performed in veroe6 cells using remdesivir as positive control.', ' the percentage of sars - cov - 2 inhibition for atri - cov - e4 was better than remdesivir.', ' for e gene and n gene ,  remdesivir showed ic50 of 0.']","'In silico, In vitro Screening of Plant Extracts for Anti-SARS-CoV-2 Activity and Evaluation of Their Acute and Sub-Acute Toxicity'",'10.1101/2021.09.07.459230',"[[' for e gene and n gene ,  remdesivir showed ic50 of 0.15 {micro}m and 0.11 {micro}m respectively ,  for e gene and n gene ,  atri - cov - e4 showed ic50 of 1.18 {micro}g and 1.16 {micro}g respectively.']]"
